fid,@id,wkt,x_wgs84,y_wgs84,historic,name,building,addr:housenumber,addr:postcode,castle_type,source:addr,addr:city:simc,addr:place,addr:city,wikidata,source,addr:street,heritage,wikipedia,tourism,heritage:operator,ref:nid,building:levels,start_date,url,description,website,ruins,access,addr:street:sym_ul,image,source:geometry,source:building,name:de,wikimedia_commons,historic:civilization,phone,name:pl,type,alt_name,ref:ckkp,nid:inscription_date,email,name:en,old_name,amenity,roof:shape,addr:country,heritage:website,opening_hours,operator,roof:colour,ref:inspire,roof:levels,building:colour,building:fireproof,building:material,note,barrier,wheelchair,fee,check_date,wikipedia:pl,roof:material,height,mapillary,contact:phone,material,nid:website,addr:housename,building:architecture,name:ru,architect,building:levels:underground,contact:website,contact:email,name:uk,internet_access,layer,loc_name,name:fr,official_name,contact:facebook,name:cs,short_name,name:be,old_name:de,government,man_made,name:es,abandoned,office,social_facility,stars,alt_name:de,alt_name:pl,ele,fixme,name:hu,nid:ref,religion,source_ref,tower:type,building:use,denomination,heritage:since,museum,name:eo,name:zh,ref,toilets:wheelchair,admin_level,area,charge,cuisine,inscription,internet_access:fee,name:it,name:pt,roof:orientation,social_facility:for,year_of_construction
1,relation/64436,POINT (21.01528019760977 52.24790025),21.01528019760977,52.24790025,castle,Zamek Królewski,palace,4,00-277,palace,mapa.um.warszawa.pl,0918123,,Warszawa,Q756098,,Plac Zamkowy,1,pl:Zamek Królewski w Warszawie,museum,whc;nid,620/1,,,,,https://www.zamek-krolewski.pl/,,,,https://upload.wikimedia.org/wikipedia/commons/9/90/POL_Warsaw_Royal_Castle_2008_%283%29.JPG,,,Königsschloss,,,+48 22 35 55 170,Zamek Królewski,multipolygon,,MZ00762,,informacja@zamek-krolewski.pl,Royal Castle,,,,,,,,,,,,,,,,limited,yes,,,,,,,,,,baroque,Королевский замок,,,,,,,,,Palais royal,,http://www.facebook.com/zamek.krolewski.warszawa,Královský hrad,,Каралеўскі замак,,,,Castillo Real,,,,,,,,,,,,,,,,,,Reĝa Kastelo,,,yes,,,,,,,Castello Reale,Castelo Real,,,
2,relation/975353,POINT (19.02832631653621 54.039540599999995),19.02832631653621,54.039540599999995,castle,Zamek Wysoki,castle,,,,,,,,,,,,,,,,,,,,,,,,,,,Hochschloss,Category:Malbork High Castle,,,Zamek Wysoki,multipolygon,,,,,,,,gabled,,,,,firebrick,,,firebrick,,brick,,,,,,,roof_tiles,,,,brick,,,,,,,,,,,,,,,,Hrad Malbork,,,,,,,,,,,,,,,Felső vár,,,,,,,,,,,,,,,,,,,,,,,
3,relation/1483520,POINT (16.918695022991603 52.4080345),16.918695022991603,52.4080345,castle,Zamek Cesarski,yes,80/82,61-809,,"http://www.poznan.pl/mim/turystyka/zabytki,poi,2572/zamek-cesarski-i-dawna-dzielnica-zamkowa,41234.html",,,Poznań,Q322605,,Święty Marcin,2,pl:Zamek Cesarski w Poznaniu,attraction,nid,A-213,4,,https://fotopolska.eu/Zamek_Cesarski_Poznan?map_z=19,,http://ckzamek.pl/,,,,https://photos.app.goo.gl/Ch6tPjyeVZ4VTWjo8,,,Kaiserschloss,,,+48 61 646 52 72,Zamek Cesarski,multipolygon,,,,informacja@ckzamek.pl,The Imperial Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,Императорский замок,,,,,,,,,,,,,,,Königliches Residenzschloß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,relation/1535290,POINT (18.812424688867438 50.44045975),18.812424688867438,50.44045975,castle,Zamek Wrochemów,castle,,,,,,,,Q9386741,,,2,pl:Zamek w Starych Tarnowicach,,nid,A/639/66,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,relation/1584083,POINT (19.050005241325053 53.11539115),19.050005241325053,53.11539115,castle,Zamek Golubski,castle,,,fortress,,,,,Q2379846,,,,pl:Zamek w Golubiu,,,,,,,,https://www.zamekgolub.pl/,,,,,,,Burg Gollub,,,,,multipolygon,,KP00155,,,,,,,,,,,,,,,,,,retaining_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,relation/1710211,POINT (19.624918037090243 50.13596485),19.624918037090243,50.13596485,castle,Pałac Potockich w Krzeszowicach,yes,,,palace,,,,,Q11814837,,,2,pl:Pałac Potockich w Krzeszowicach,,nid,A-643/M,,1850..1857,,,,,,,,,,,Category:Potocki Palace in Krzeszowice,,,,multipolygon,,,1976-07-23,,,,,,,https://zabytek.pl/pl/obiekty/krzeszowice-palac-potockich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,relation/2119457,POINT (20.21817512017167 50.0343178),20.21817512017167,50.0343178,castle,Zamek Królewski,yes,2,32-005,,EMUiA (emuia.gugik.gov.pl),,,Niepołomice,,,Zamkowa,,pl:Zamek Królewski w Niepołomicach,,,,,,,,https://www.zamekkrolewski.com.pl/new/,,,,,,,,Category:Niepołomice Castle,,,,multipolygon,,,,,,,,hipped,,,,,"#cd491d",,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,relation/2266568,POINT (18.772661950935568 50.2239055),18.772661950935568,50.2239055,castle,Zamek Chudów,yes,6,44-177,,gieraltowice.e-mapa.net,0214304,,Chudów,Q9386616,,Podzamcze,2,pl:Zamek w Chudowie,attraction,nid,A/568,,,,,,,,16894,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,relation/2566294,POINT (16.19041383222985 51.049869900000004),16.19041383222985,51.049869900000004,castle,Zamek Piastowski,yes,1,59-400,defensive,,,,Jawor,Q9386648,,Zamkowa,,pl:Zamek Piastowski w Jaworze,,,,,1234,"https://polska-org.pl/550770,Jawor,Zamek_Jawor.html",,,,,25547,https://photos.app.goo.gl/7ZyUTGTR8LTg9PV28,,,Schloss Jauer,,,,,multipolygon,,,,,Piast castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,relation/2595305,POINT (18.8281851454646 53.83436625),18.8281851454646,53.83436625,castle,Zamek w Gniewie,yes,3,83-140,defensive,gniew.e-mapa.net,0934470,,Gniew,Q5574254,,Zamkowa,2,pl:Zamek w Gniewie,,nid,638040,,1290,,,,,,25547,,,,,,,,,multipolygon,,PM00152,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
