object_type,name,country,province,district,municipality,post_code,nearest_address,state,accessibility,veracity_score,description,wikipedia,wikidata
K01.20.30 - Dwory inne,Lublin IX - Dwór-Doświadczalna 50,Polska,lubelskie,Lublin,Lublin,20-280,"lubelskie, Lublin, Lublin, Lublin, Doświadczalna 50b",,,,,,
K01.20.20 - Dwory szlacheckie,Modrzewiowy dwór w Kraśniku,Polska,lubelskie,kraśnicki,Kraśnik,23-200,"lubelskie, kraśnicki, Kraśnik, Kraśnik, Gabriela Narutowicza 29",,,,,,
K01.20.30 - Dwory inne,Dwór Turka,Polska,lubelskie,lubelski,Wólka,20-258,"lubelskie, lubelski, Wólka, Turka 15",,,,,,
K01.30.10 - Zamki,Relikty zamku,Polska,lubelskie,Zamość,Zamość,22-400,"lubelskie, Zamość, Zamość, Zamość, Wałowa 7A",n/a,full,poor,,,
K01.20.30 - Dwory inne,Dłużniewo,Polska,mazowieckie,płoński,Baboszewo,09-130,"mazowieckie, płoński, Baboszewo, Dłużniewo 41",,,,,,
K01.20.30 - Dwory inne,Dwór Stanisława de Thun w Drozdowie,Polska,mazowieckie,płoński,Raciąż,09-140,"mazowieckie, płoński, Raciąż, Drozdowo 44",,,,,,
K01.20.20 - Dwory szlacheckie,Gładczyn,Polska,mazowieckie,pułtuski,Zatory,07-214,"mazowieckie, pułtuski, Zatory, Gładczyn 6/1",,,,,,
K01.20.30 - Dwory inne,Dwór Lelewo,Polska,mazowieckie,nowodworski,Nasielsk,05-191,"mazowieckie, nowodworski, Nasielsk, Lelewo 76",,,,,,
K01.20.30 - Dwory inne,Dwór w Suchem,Polska,mazowieckie,makowski,Płoniawy-Bramura,06-210,"mazowieckie, makowski, Płoniawy-Bramura, Suche 45",,,,,,
K01.20.20 - Dwory szlacheckie,Szlasy-Łozino,Polska,mazowieckie,makowski,Płoniawy-Bramura,06-210,"mazowieckie, makowski, Płoniawy-Bramura, Szlasy-Łozino 36",,,,,,
K01.20.30 - Dwory inne,Słomin,Polska,mazowieckie,płocki,Wyszogród,09-450,"mazowieckie, płocki, Wyszogród, Słomin 41",,,,,,
K01.20.30 - Dwory inne,Grodkowo,Polska,mazowieckie,płocki,Wyszogród,09-450,"mazowieckie, płocki, Wyszogród, Grodkowo 19",,,,,,
K01.20.30 - Dwory inne,Dwór Góry,Polska,mazowieckie,białobrzeski,Promna,26-803,"mazowieckie, białobrzeski, Promna, Góry 38",,,,,,
K01.20.30 - Dwory inne,Dwór Paplin,Polska,mazowieckie,węgrowski,Korytnica,07-120,"mazowieckie, węgrowski, Korytnica, Paplin 29",,,,,,
K01.20.30 - Dwory inne,Skoczkowo,Polska,mazowieckie,sierpecki,Zawidz,09-226,"mazowieckie, sierpecki, Zawidz, Skoczkowo 18A",,,,,,
K01.20.30 - Dwory inne,Bachorza,Polska,mazowieckie,łosicki,Huszlew,08-206,"mazowieckie, łosicki, Huszlew, Bachorza 20",,,,,,
K01.20.30 - Dwory inne,Lekowo,Polska,mazowieckie,ciechanowski,Regimin,06-461,"mazowieckie, ciechanowski, Regimin, Lekowo 32",,,,,,
K01.20.30 - Dwory inne,Urząd Gminy Gołymin,Polska,mazowieckie,ciechanowski,Gołymin-Ośrodek,06-420,"mazowieckie, ciechanowski, Gołymin-Ośrodek, Gołymin-Ośrodek, Szosa Ciechanowska 8",,,,,,
K01.20.30 - Dwory inne,Machcino,Polska,mazowieckie,płocki,Bielsk,09-411,"mazowieckie, płocki, Bielsk, Machcino 49",,,,,,
K01.20.30 - Dwory inne,Krynica,Polska,mazowieckie,siedlecki,Suchożebry,08-125,"mazowieckie, siedlecki, Suchożebry, Krynica 39",,,,,,
K01.20.30 - Dwory inne,Dwór Godlewskiego w Brulinie-Koskim,Polska,podlaskie,wysokomazowiecki,Czyżew,18-220,"podlaskie, wysokomazowiecki, Czyżew, Brulino-Koski 36",,,,,,
K01.20.30 - Dwory inne,Siestrzeń,Polska,mazowieckie,grodziski,Żabia Wola,96-321,"mazowieckie, grodziski, Żabia Wola, Siestrzeń, Grodziska 11",,,,,,
K01.20.30 - Dwory inne,Kuznocin,Polska,mazowieckie,sochaczewski,Sochaczew,96-500,"mazowieckie, sochaczewski, Sochaczew, Kuznocin 37",,,,,,
K01.20.30 - Dwory inne,Grzymek - Ojcówek,Polska,mazowieckie,grodziski,Żabia Wola,96-321,"mazowieckie, grodziski, Żabia Wola, Grzymek, Śródleśna 15",,,,,,
