tag,values_not_null
addr:state,2
building:colour,37
description:access,1
heritage:ref,1
heritage:website,61
internet_access,13
layer,13
loc_name:pl,1
name:fa,1
name:hy,1
name:sq,1
name:zh,6
note:pl,1
old_name:ru,1
operator,51
ref:nid_date,1
roof:levels,41
ruins:building:colour,1
service:bicycle:rental,1
source:geometry,251
source:track,1
subject:wikipedia,1
tower:construction,3
url:3,20
url:5,5
wheelchair,32
addr:housenumber,1853
addr:last_update,1
alt_name:de,7
building:usage:pl,10
capacity,1
diet:vegetarian,1
fee,30
name:es,9
name:vi,3
natural,2
nid:website,19
old_name,77
old_name:de,10
operator:type,4
ref,6
ref:gez,5
ref:nid,698
smoking,4
source:access,1
source:url,1
toilets:wheelchair,6
wall,3
website,382
addr:housename,18
addr:subdistrict,2
air_conditioning,1
building:max_level,1
charge,5
church:type,1
contact:phone,24
contact:youtube,4
inscription,5
name:bg,2
name:de_1,1
nid:inscription_date,85
old_name:pl,2
payment:debit_cards,1
ref:inspire,41
religion,7
source:link,1
tower:type,7
website:map:pl,1
wikipedia:ru,1
addr:city:simc,1074
addr:country,62
amenity,71
barrier,33
counselling_type:addiction,1
ewmapa:warstwa,4
fee:conditional,4
image:0,7
mapillary,25
name:el,2
name:hu,7
name:id,2
name:la,1
name:sk,2
office,8
payment:contactless,1
place,1
reservation,3
roof:direction,1
ruins:building:levels:underground,1
source:description,3
source:position,2
url:1,46
url:2,34
website:0,1
wikimedia_commons,153
addr:province,2
alt_name:fr,1
condition,1
deanery,3
end_date,4
fixme,7
full_name,1
grades,1
heritage:operator,698
historic:civilization,123
note,34
old_addr:place,15
panoramax,1
payment:american_express,1
payment:visa,1
protected,1
ref:ckkp,93
ruins,347
sorting_name:cs,2
source:building,181
source_ref,7
stars,8
start,2
whc:inscription_date,1
wikipedia:en,3
contact:fax,3
fax,17
government,9
name:hr,3
name:no,4
name:uk,14
ref:rspo,1
ref:whc,1
residential,1
short_name,11
source,885
source:name:en,1
whc:website,1
addr:city,931
addr:place,1011
architect:wikipedia,1
building,2735
building:condition,3
building:facade:material,1
building:levels,631
building:use,6
changing_table,2
cuisine,5
data_zmiany,2
description:de,1
description:eo,1
description:pl,2
designation,4
email:1,1
email_1,1
healthcare:operator,1
height,25
heritage,794
historic,3554
historic_1,3
landuse,2
level,1
material,24
name,2801
name:fi,2
name:it,5
name:pt,5
postal_code,1
since,1
source:addr,1394
source:heritage,1
wikivoyage,1
year_built,1
alt_name:en,2
attraction,1
building:style,1
building:use:pl,16
check_date,29
fortification_type,2
name:eo,6
name:he,2
name:ka,1
official_name,12
old_addr:housenumber,17
payment:mastercard,1
protect_class,1
restaurant,1
roof:height,4
seamark:fortified_structure:category,1
source:start_date,1
year,7
abandoned,8
addr:street,867
alt_name:pt,1
building:type:pl,6
changing_table:fee,1
contact:tripadvisor,2
historic:period,3
internet_access:fee,5
lit,1
loc_name,12
local_name,1
name:ja,1
name:ko,3
name:sv,1
name:uz,1
name_1,2
owner,4
ruins:building:levels,1
start_date,528
toilets:unisex,3
url,496
url:0,88
url:9,1
url_1,17
website:en,1
website:pl,1
wikimedia_commons:2,1
wikipedia:de,1
alt_name:pl,7
beds,2
building:min_level,1
building:part,1
construction,1
contact:facebook,11
contact:mobile,3
email,83
name:eu,1
name:genitive,1
old_denomination,1
ownership,1
phone,123
rooms,2
toilets:access,2
url_2,2
wikidata,894
addr:district,2
addr:postcode,1778
addr:street:sym_ul,273
architect,16
building:fireproof,34
building:parts,1
buildingpart,1
castle:type,1
contact:email,15
description:payment:eo,1
emuia:id,1
leisure,4
military,2
name:de,168
name:fr,12
name:jv,1
name:ru,18
polling_station,1
roof:shape,65
ruins:building,4
seamark:type,1
source:local_name,1
tourism_1,3
veryfication,8
website:2,1
addr:streetnumber,1
architect:wikidata,4
building:floor_area,1
existing,1
fee:icom_member,1
guest_house,1
image,262
instagram,1
medical_system:western,1
name:da,2
name:pl,108
name:ro,4
name:zh-Hant,2
old_religion,1
opening_hours:signed,1
payment:cash,2
payment:maestro,1
service_times,1
alt_name:cs,1
archaeological_site,2
building:architecture,18
castle_type,1730
denomination,6
diocese,3
discount:citycard,1
ele,7
int_name,1
landmark,1
mobile,2
museum,6
name:be,10
nat_name:de,1
note:charge,1
opening_hours,56
ref:start_date,1
ref:vatin,1
ref:wuoz,1
sauna,1
seamark:name,1
survey:date,2
url:4,10
url:7,2
whc:criteria,1
wikimedia_commons:category,2
access,328
admin_level,5
area,5
building:levels:underground,16
building:material,34
castle_type:de,5
changing_table:location,1
colour,1
description,436
disused,4
healthcare,2
heritage:since,6
is_in,1
kodinspire,3
man_made,9
name:tr,1
nid:ref,7
roof:material,27
social_facility:for,5
website:map:en,1
website:ua,2
wheelchair:description,1
wikipedia:pl,29
youtube,1
alt_name,94
castle_type_pl,1
check_date:opening_hours,2
contact:tiktok,1
contact:website,16
description:payment:pl,1
facebook,13
gez:inscription_date,2
health_facility:type,1
highway:category:pl,1
name:en,78
nat_name,1
note:opening_hours,1
payment:credit_cards,1
phone:1,1
phone_1,1
ref:addr,7
roof:colour,47
source:old_addr,3
type,104
url:6,3
url:8,1
video,1
wikipedia,783
wikipedia:vi,1
year_of_construction,5
BytomGIS:id,1
contact:instagram,3
contact:twitter,2
name:ca,1
name:cs,11
name:lt,2
name:nl,3
network,2
old_addr:street,1
outdoor_seating,1
payment:coins,1
roof:orientation,5
social_facility,8
source:tourism,1
subject:wikidata,1
toilets,4
tourism,727
