wkt_wgs84,x_wgs84,y_wgs84,country,province,district,municipality,postcode,object_type,object_type_name,veracity_score,accessibility,state,otar_id,name,description,wikidata,wikidata_url,wikipedia,wikipedia_url,published
POINT (21.553913144 51.588925065),21.553913144,51.588925065,Polska,mazowieckie,kozienicki,Kozienice,26-900,K01.20.10,Pałace,good,full,excellent,K01.20.10.11539K,Pałac Stanisława Augusta Poniatowskiego w Kozienicach,"Historia tego miejsca sięga XIV wieku, kiedy istniał tu zamek myśliwski. Według przekazów gościł w nim Władysław Jagiełło, a także urodził się tutaj przyszły król Zygmunt I Stary. Dawna warownia nie przetrwała do dziś  na jej miejscu Stanisław August Poniatowski polecił wznieść pałac, który zachował się do dziś. Pod koniec XVIII wieku w pałacu działała manufaktura sztucerów, produkująca broń dla żołnierzy piechoty koronnej.",n/a,n/a,n/a,n/a,2026-08-14
POINT (16.249440654 52.366263426),16.249440654,52.366263426,Polska,wielkopolskie,nowotomyski,Kuślin,64-316,K01.20.10,Pałace,good,partial,excellent,K01.20.10.14WEE9,Zamek w Wąsowie,"Zamek w Wąsowie wzniesiono w latach 1870–1872 jako neogotycką rezydencję rodu von Hardtów. Monumentalna budowla otrzymała rozczłonkowaną bryłę z wieżami, ryzalitami, blankami i detalem inspirowanym architekturą średniowiecznych zamków. Otacza ją rozległy park krajobrazowy. Obecnie obiekt jest dobrze zachowany, odrestaurowany i pełni funkcje hotelowe oraz konferencyjne.",Q1461752,https://www.wikidata.org/wiki/Q1461752,pl:Zamek w Wąsowie,https://pl.wikipedia.org/wiki/Zamek_w_W%C4%85sowie,2026-08-14
POINT (17.149732329 51.6579678),17.149732329,51.6579678,Polska,wielkopolskie,rawicki,Jutrosin,63-930,K01.20.10,Pałace,good,partial,good,K01.20.10.1ZYGR3,Pałac Czartoryskich w Starym Sielcu,Nieukończony Pałac Czartoryskich zbudowany w miejscu XVIII w. obronnej rezydencji szlacheckiej. Niedokończona budowla zachowała charakter pałacowy z regularną bryłą i reprezentacyjnym układem wnętrz. Wokół rozciąga się założenie parkowe związane z dawnym majątkiem. Obecnie pałac jest zachowany jako element historycznego zespołu rezydencjonalnego.,Q33092878,https://www.wikidata.org/wiki/Q33092878,pl:Pałac Czartoryskich w Starym Sielcu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Czartoryskich_w_Starym_Sielcu,2026-08-14
POINT (16.515003994 51.047280934),16.515003994,51.047280934,Polska,dolnośląskie,średzki,Udanin,55-340,K01.20.10,Pałace,good,limited,fair,K01.20.10.29RT4A,Pałac w Pielaszkowicach,"Późnorenesansowy zamek-pałac typu palazzo in fortezza z 1570 r., wzniesiony przez Hansa von Mühlheima jako obronna rezydencja, później włączoną w rozbudowany zespół pałacowy. Towarzyszą mu park ze stawami, oficyny mieszkalne i gospodarcze, drewniana altana oraz spichrz. Obiekt wielokrotnie przekształcano wraz z otoczeniem parkowym. Obecnie pałac znajduje się w stanie ruiny, a cały zespół objęty jest ochroną konserwatorską.",Q24941452,https://www.wikidata.org/wiki/Q24941452,pl:Pałac w Pielaszkowicach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Pielaszkowicach,2026-08-14
POINT (15.813822891 50.875450579),15.813822891,50.875450579,Polska,dolnośląskie,karkonoski,Mysłakowice,58-500,K01.20.10,Pałace,good,partial,excellent,K01.20.10.3NFHQF,Pałac w Wojanowie,"Pałac w Wojanowie wzniesiono w XVII w. jako obronną rezydencję szlachecką, a w XIX w. gruntownie przebudowano w duchu neogotyckim. Otrzymał malowniczą, symetryczną bryłę z narożnymi wieżami, krenelażem i dekoracyjnymi szczytami, otoczoną rozległym parkiem krajobrazowym. Po 1945 r. obiekt ulegał degradacji, lecz na początku XXI w. został odrestaurowany. Obecnie pełni funkcje hotelowe, konferencyjne i turystyczne.",Q11815054,https://www.wikidata.org/wiki/Q11815054,pl:Pałac w Wojanowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Wojanowie,2026-08-14
POINT (21.482585 49.751961),21.482585,49.751961,Polska,podkarpackie,jasielski,Jasło,38-200,K01.20.10,Pałace,good,partial,excellent,K01.20.10.3NJ8FC,Pałac Sroczyńskich w Jaśle,"Według Spisu Dóbr Koronnych z 1629 roku starosta jasielski Baltazar Brodecki polecił wznieść w tej miejscowości murowaną warownię. Zamek miał charakter obronny  wyposażony był w baszty oraz zwodzony most, a jego zabezpieczenie stanowił dodatkowo ziemny wał otaczający całość założenia. Dawny zamek nie zachował się do czasów współczesnych. W jego miejscu w 1858 roku wybudowano pałac Sroczyńskich, który obecnie pełni funkcję siedziby Zespołu Szkół Medycznych.",Q30513149,https://www.wikidata.org/wiki/Q30513149,pl:Pałac Sroczyńskich w Jaśle,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Sroczy%C5%84skich_w_Ja%C5%9Ble,2026-08-14
POINT (19.92565 53.911819),19.92565,53.911819,Polska,warmińsko-mazurskie,ostródzki,Morąg,14-300,K01.20.10,Pałace,good,full,excellent,K01.20.10.3XHZH8,Pałac w Morągu,"W sąsiedztwie XIV-wiecznego zamku krzyżackiego wzniesiono w drugiej połowie XVI wieku rezydencję rodu Dohnów. Podczas budowy wykorzystano fragmenty miejskich fortyfikacji, w tym mury oraz basztę. W 1717 roku obiekt został rozbudowany, zyskując bardziej pałacowy charakter. Zniszczony w 1945 roku, został odbudowany w latach 1975-1985. Obecnie mieści się w nim Muzeum Warmii i Mazur.",Q11814998,https://www.wikidata.org/wiki/Q11814998,pl:Pałac w Morągu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Mor%C4%85gu,2026-08-14
POINT (16.150172669 51.569657256),16.150172669,51.569657256,Polska,dolnośląskie,polkowicki,Grębocice,59-150,K01.20.10,Pałace,good,limited,good,K01.20.10.4B299N,Pałac w Świninie,"Zabytkowy pałac w Świninie (dolnośląskie) z XVIII w., wzniesiony w miejscu dawnej budowli renesansowej. Wyróżnia go dach mansardowy i asymetryczny ryzalit z balkonem. Otoczony zabytkowym parkiem oraz folwarkiem. Obiekt nie jest udostępniony do zwiedzania, bryłę można podziwiać z zewnątrz.",Q19844448,https://www.wikidata.org/wiki/Q19844448,pl:Pałac w Świninie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_%C5%9Awininie,2026-08-14
POINT (16.674364643 50.611568596),16.674364643,50.611568596,Polska,dolnośląskie,ząbkowicki,Stoszowice,58-262,K01.20.10,Pałace,fair,partial,fair,K01.20.10.4TQ6W9,Pałac w Rudnicy,"Pałac w Rudnicy powstał w XVI w. jako renesansowy dwór, następnie był kilkakrotnie rozbudowywany, a w XIX w. otrzymał jednolitą formę klasycystyczną z neogotycką wieżą. Czteroskrzydłowa, dwukondygnacyjna budowla otaczała niewielki dziedziniec; zachowały się fragmenty sgraffitów, kamiennych obramień i sklepień. Obecnie pałac znajduje się w stanie zaawansowanej ruiny, z zachowanymi murami obwodowymi i cylindryczną wieżą.",Q19401160,https://www.wikidata.org/wiki/Q19401160,pl:Pałac w Rudnicy,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Rudnicy,2026-08-14
POINT (22.33386613 51.353492417),22.33386613,51.353492417,Polska,lubelskie,lubelski,Garbów,21-080,K01.20.10,Pałace,good,full,excellent,K01.20.10.4XB9Q4,Pałac w Garbowie,"Klasycystyczny pałac w Garbowie (woj. lubelskie), wzniesiony w poł. XIX w. dla rodziny Jezierskich według projektu Józefa Dietricha. Budynek na planie litery H z jońskim portykiem. Otacza go park ze stawami. Obecnie w jego wnętrzach mieści się m.in. ośrodek zdrowia i apteka.",n/a,n/a,n/a,n/a,2026-08-14
POINT (19.649077507 50.467689787),19.649077507,50.467689787,Polska,śląskie,zawierciański,Pilica,42-436,K01.20.10,Pałace,good,limited,good,K01.20.10.532W4A,Zamek w Pilicy,"Pałac w Pilicy powstał na miejscu średniowiecznego zamku z XIV wieku. Dawna gotycka warownia, związana m.in. z rodem Pileckich, została w XVI wieku przebudowana na renesansową rezydencję, a następnie wzmocniona systemem bastionowych fortyfikacji. Po zniszczeniach podczas najazdu szwedzkiego obiekt przekształcono w XVIII wieku w barokową rezydencję inspirowaną architekturą francuską. Z dawnego założenia zachowały się fragmenty fortyfikacji oraz elementy starszej zabudowy.",Q9386705,https://www.wikidata.org/wiki/Q9386705,pl:Zamek w Pilicy,https://pl.wikipedia.org/wiki/Zamek_w_Pilicy,2026-08-14
POINT (17.835562207 51.128454184),17.835562207,51.128454184,Polska,wielkopolskie,kępiński,Rychtal,63-630,K01.20.10,Pałace,good,partial,good,K01.20.10.5EKYVS,Pałac biskupów wrocławskich w Skoroszowie,"Pałac w Skoroszowie to urokliwy, choć nieco zapomniany zabytek architektury rezydencjonalnej. Stanowi on klasyczny przykład wiejskiej siedziby szlacheckiej, w której nowożytna elegancja całkowicie zastąpiła surowe, średniowieczne walory obronne. Obecny pałac został wzniesiony w drugiej połowie XVIII wieku, prawdopodobnie około 1790 roku, w miejscu wcześniejszego, skromniejszego założenia dworskiego. Fundacja ta wiąże się z rodem von Kessel, który w tym czasie władał lokalnymi dobrami.",Q32998765,https://www.wikidata.org/wiki/Q32998765,pl:Pałac w Skoroszowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Skoroszowie,2026-08-14
POINT (16.536687691 50.986570864),16.536687691,50.986570864,Polska,dolnośląskie,świdnicki,Żarów,58-130,K01.20.10,Pałace,good,limited,good,K01.20.10.5GBMPC,Pałac w Pyszczynie,"Pałac w Pyszczynie powstał z wcześniejszego dworu obronnego, wzmiankowanego już w XIV w., a obecną wczesnoklasycystyczną formę uzyskał podczas rozbudowy w latach 1794–1796. Jest dwukondygnacyjną budowlą na planie podkowy, nakrytą dachami dwuspadowymi z lukarnami. Fasada zachowała barokowy portal, korynckie pilastry i kartusze herbowe. Obecnie pałac pozostaje własnością prywatną i wymaga dalszej rewaloryzacji.",Q19401157,https://www.wikidata.org/wiki/Q19401157,pl:Pałac w Pyszczynie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Pyszczynie,2026-08-14
POINT (22.523925 51.023881),22.523925,51.023881,Polska,lubelskie,lubelski,Bychawa,23-100,K01.20.10,Pałace,good,partial,poor,K01.20.10.5M8LJB,Pałac w Bychawie,"Ruiny pałacu w Bychawie to pozostałości dawnego zamku, którego budowę rozpoczęto na początku XVI wieku, w okresie nadania osadzie praw miejskich w 1537 roku. Z czasem pierwotna warownia została przekształcona w pałacową rezydencję. Choć budowla nie przetrwała do dziś w całości, do dziś zachowały się imponujące, duże partie murów, które dają wyobrażenie o jej dawnej skali i świetności. Wstęp na teren ruin jest całkowicie bezpłatny.",Q30099995,https://www.wikidata.org/wiki/Q30099995,n/a,n/a,2026-08-14
